subject,unit_category,units,year_level,degree,trimester,curriculum,description
CIT14,Lec/Lab,3,2nd yr,BSIT(NetSec),2nd Trimester,2025-2026,Web Application Development
CC19,Lec/Lab,3,2nd yr,BSIT(NetSec),2nd Trimester,2025-2026,Data mining
CC18,PureLec,3,2nd yr,BSIT(NetSec),2nd Trimester,2025-2026,Social and Professional Issues
CIT3,PureLec,3,2nd yr,BSIT(NetSec),2nd Trimester,2025-2026,IT Project Management
CIT25,Lec/Lab,3,2nd yr,BSIT(NetSec),2nd Trimester,2025-2026,Enterprise Networking; Security; and Automation
SCIENCE100,PureLec,3,2nd yr,BSIT(NetSec),2nd Trimester,2025-2026,Science; Technology and Society
CORDI101,PureLec,3,2nd yr,BSIT(NetSec),2nd Trimester,2025-2026,Cordilleras: History and Socio-Cultural Heritage
CC14,Lec/Lab,3,2nd yr,BSIT(ERP),2nd Trimester,2025-2026,Web Application Development
CC19,Lec/Lab,3,2nd yr,BSIT(ERP),2nd Trimester,2025-2026,Data Mining
CC18,PureLec,3,2nd yr,BSIT(ERP),2nd Trimester,2025-2026,Social and Professional Issues
CIT3,PureLec,3,2nd yr,BSIT(ERP),2nd Trimester,2025-2026,IT Project Management
CIT10,Lec/Lab,3,2nd yr,BSIT(ERP),2nd Trimester,2025-2026,ERP Configuration
SCIENCE100,PureLec,3,2nd yr,BSIT(ERP),2nd Trimester,2025-2026,Science; Technology and Society
CORDI101,PureLec,3,2nd yr,BSIT(ERP),2nd Trimester,2025-2026,Cordilleras: History and Socio-Cultural Heritage
CC19,Lec/Lab,3,2nd yr,BSCS,2nd Trimester,2025-2026,Data Mining
CC23,Lec/Lab,5,2nd yr,BSCS,2nd Trimester,2025-2026,Calculus
CCS3,PureLec,3,2nd yr,BSCS,2nd Trimester,2025-2026,Automata and language Theory
CCS8,Lec/Lab,3,2nd yr,BSCS,2nd Trimester,2025-2026,Software Engineering
CCS13,PureLec,3,2nd yr,BSCS,2nd Trimester,2025-2026,Optimization Theory
CORDI101,PureLec,3,2nd yr,BSCS,2nd Trimester,2025-2026,Cordilleras: History and Socio-Cultural Heritage
CC18,PureLec,3,2nd yr,BSDA,2nd Trimester,2025-2026,Social and Professional Issues
CC19,Lec/Lab,3,2nd yr,BSDA,2nd Trimester,2025-2026,Data Mining
CDA5,Lec/Lab,3,2nd yr,BSDA,2nd Trimester,2025-2026,Data Warehousing Fundamentals
CIT1,PureLec,3,2nd yr,BSDA,2nd Trimester,2025-2026,Quantitative Analysis
CIT3,PureLec,3,2nd yr,BSDA,2nd Trimester,2025-2026,Data Mining
FL100,PureLec,3,2nd yr,BSDA,2nd Trimester,2025-2026,Foreign Culture and language
CORDI101,PureLec,3,2nd yr,BSDA,2nd Trimester,2025-2026,Cordilleras: History and Socio-Cultural Heritage
MMC18,Lec/Lab,3,2nd yr,BMMA,2nd Trimester,2025-2026,Game Design
MMC4,Lec/Lab,3,2nd yr,BMMA,2nd Trimester,2025-2026,Typography and Layout
MMC5,Lec/Lab,3,2nd yr,BMMA,2nd Trimester,2025-2026,3D Animation Techniques
MCC8,PureLec,3,2nd yr,BMMA,2nd Trimester,2025-2026,Research Methods
HIST101,PureLec,3,2nd yr,BMMA,2nd Trimester,2025-2026,The Life and Works of Rizal
CORDI101,PureLec,3,2nd yr,BMMA,2nd Trimester,2025-2026,Cordilleras: History and Socio-Cultural Heritage
CC15,PureLec,3,2nd yr,BSIT(Webtech),3rd Trimester,2025-2026,Systems Integration and Architecture
CC16,PureLec,3,2nd yr,BSIT(Webtech),3rd Trimester,2025-2026,IT Security
CIT4,Lec/Lab,3,2nd yr,BSIT(Webtech),3rd Trimester,2025-2026,Introduction to Integrative Programming and Technologies
CIT16,Lec/Lab,3,2nd yr,BSIT(Webtech),3rd Trimester,2025-2026,IT Technopreneurship
FL100,PureLec,3,2nd yr,BSIT(Webtech),3rd Trimester,2025-2026,Foreign Culture and Language
SOCSCI100,PureLec,3,2nd yr,BSIT(Webtech),3rd Trimester,2025-2026,Art Appreciation
CC15,PureLec,3,2nd yr,BSIT(NetSec),3rd Trimester,2025-2026,System Integration and Architecture
CC16,PureLec,3,2nd yr,BSIT(NetSec),3rd Trimester,2025-2026,IT Security
CIT4,Lec/Lab,3,2nd yr,BSIT(NetSec),3rd Trimester,2025-2026,Introduction to Integrative Programming and Technologies
CIT26,Lec/Lab,3,2nd yr,BSIT(NetSec),3rd Trimester,2025-2026,Essentials of Network management
FL100,PureLec,3,2nd yr,BSIT(NetSec),3rd Trimester,2025-2026,Foreign Culture and Language
SOCSCI100,PureLec,3,2nd yr,BSIT(NetSec),3rd Trimester,2025-2026,Art Appreciation
CC15,PureLec,3,2nd yr,BSIT(ERP),3rd Trimester,2025-2026,Systems Integration and Architecture
CC16,PureLec,3,2nd yr,BSIT(ERP),3rd Trimester,2025-2026,IT Security
CIT4,Lec/Lab,3,2nd yr,BSIT(ERP),3rd Trimester,2025-2026,Introduction to Integrative Programming and Technologies
CIT11,Lec/Lab,3,2nd yr,BSIT(ERP),3rd Trimester,2025-2026,ABAP Programming 1
FL100,PureLec,3,2nd yr,BSIT(ERP),3rd Trimester,2025-2026,Foreign Culture and Language
SOCSCI100,PureLec,3,2nd yr,BSIT(ERP),3rd Trimester,2025-2026,Art Appreciation
CC15,PureLec,3,2nd yr,BSCS,3rd Trimester,2025-2026,Systems Integration and Architecture
CCS4,PureLec,3,2nd yr,BSCS,3rd Trimester,2025-2026,Programming Languages
CCS7,Lec/Lab,3,2nd yr,BSCS,3rd Trimester,2025-2026,Intelligent Systems
CCS14,Lec/Lab,3,2nd yr,BSCS,3rd Trimester,2025-2026,Digital Animation
FL100,PureLec,3,2nd yr,BSCS,3rd Trimester,2025-2026,Foreign Culture and Language
SCIENCE100,PureLec,3,2nd yr,BSCS,3rd Trimester,2025-2026,Science; Technology and Society
CC15,PureLec,3,2nd yr,BSDA,3rd Trimester,2025-2026,Systems Integration and Architecture
CDA7,PureLec,3,2nd yr,BSDA,3rd Trimester,2025-2026,Data Visualization Fundamentals
CDA6,Lec/Lab,3,2nd yr,BSDA,3rd Trimester,2025-2026,Data Preparation Technologies
CDA8,Lec/Lab,3,2nd yr,BSDA,3rd Trimester,2025-2026,Data Modeling Technologies
CIT16,PureLec,3,2nd yr,BSDA,3rd Trimester,2025-2026,IT Technopreneurship
SCIENCE100,PureLec,3,2nd yr,BSDA,3rd Trimester,2025-2026,Science; Technology and Society
MMC19,Lec/Lab,3,2nd yr,BMMA,3rd Trimester,2025-2026,Advanced 3D Modeling and Scene Design
CC14,Lec/Lab,3,2nd yr,BMMA,3rd Trimester,2025-2026,Web Application Development
MMC6,Lec/Lab,3,2nd yr,BMMA,3rd Trimester,2025-2026,Fundamentals in Film and Video Production
FL100,PureLec,3,2nd yr,BMMA,3rd Trimester,2025-2026,Foreign Culture and Language
SOCSCI103N,PureLec,3,2nd yr,BMMA,3rd Trimester,2025-2026,The Contemporary World
CC6,PureLec,3,3rd yr,BSIT(Webtech),1st Trimester,2025-2026,Emerging Technologies in IT
CC17,Lec/Lab,3,3rd yr,BSIT(Webtech),1st Trimester,2025-2026,Mobile Application Design and Development
CIT6,PureLec,3,3rd yr,BSIT(Webtech),1st Trimester,2025-2026,Capstone Project 1
CIT7,PureLec,3,3rd yr,BSIT(Webtech),2nd Trimester,2025-2026,Capstone Project 2
CIT18,Lec/Lab,3,3rd yr,BSIT(Webtech),2nd Trimester,2025-2026,Mastery in Web Technology
SOCSCI103N,PureLec,3,3rd yr,BSIT(Webtech),1st Trimester,2025-2026,The Contemporary World
CIT8,PureLec,9,3rd yr,BSIT(Webtech),3rd Trimester,2025-2026,IT Internship
CC6,PureLec,3,3rd yr,BSIT(NetSec),1st Trimester,2025-2026,Emerging Technologies in IT
CC17,Lec/Lab,3,3rd yr,BSIT(NetSec),1st Trimester,2025-2026,Mobile Application Design and Development
CIT6,PureLec,3,3rd yr,BSIT(NetSec),1st Trimester,2025-2026,Capstone Project 1
CIT22,Lec/Lab,3,3rd yr,BSIT(NetSec),1st Trimester,2025-2026,Mastery in Networking Administration
SOCSCI103N,PureLec,3,3rd yr,BSIT(NetSec),1st Trimester,2025-2026,The Contemporary World
CIT7,PureLec,3,3rd yr,BSIT(NetSec),2nd Trimester,2025-2026,Capstone Project 2
CIT23,Lec/Lab,3,3rd yr,BSIT(NetSec),2nd Trimester,2025-2026,Firewalls and Security
HIST101,PureLec,3,3rd yr,BSIT(NetSec),2nd Trimester,2025-2026,The Life and Works of Rizal
HIST101,PureLec,3,3rd yr,BSIT(Webtech),2nd Trimester,2025-2026,The Life and Works of Rizal
CIT8,PureLec,9,3rd yr,BSIT(NetSec),3rd Trimester,2025-2026,IT Internship
CC17,Lec/Lab,3,3rd yr,BSIT(ERP),1st Trimester,2025-2026,Mobile Application Design and Development
CC6,PureLec,3,3rd yr,BSIT(ERP),1st Trimester,2025-2026,Emerging Technologies in IT
CIT6,PureLec,3,3rd yr,BSIT(ERP),1st Trimester,2025-2026,Capstone Project 1
CC18,PureLec,3,3rd yr,BSCS,1st Trimester,2025-2026,Social and Professional Issues
CCS6,PureLec,3,3rd yr,BSCS,1st Trimester,2025-2026,Operating System
CCS9,PureLec,3,3rd yr,BSCS,1st Trimester,2025-2026,Thesis Writing 1
CC16,PureLec,3,3rd yr,BSCS,1st Trimester,2025-2026,IT Security
CCS15,Lec/Lab,3,3rd yr,BSCS,1st Trimester,2025-2026,Game Theory
CC6,PureLec,3,3rd yr,BSCS,2nd Trimester,2025-2026,Emerging Technologies in IT
CCS19,Lec/Lab,3,3rd yr,BSCS,2nd Trimester,2025-2026,Thesis Writing 2
CCS16,Lec/Lab,3,3rd yr,BSCS,2nd Trimester,2025-2026,Game Console Integration
CCS11,PureLec,3,3rd yr,BSCS,3rd Trimester,2025-2026,CS Internship
HIST101,PureLec,3,3rd yr,BSCS,3rd Trimester,2025-2026,The Life and Works of Rizal
HIST101,PureLec,3,3rd yr,BSIT(ERP),2nd Trimester,2025-2026,Life and Works of Rizal
CC17,Lec/Lab,3,3rd yr,BSDA,1st Trimester,2025-2026,Mobile Application Design and Development
CDA10,PureLec,3,1st yr,BSDA,1st Trimester,2025-2026,Data Analytics Capstone Project 1
CC16,PureLec,3,3rd yr,BSDA,1st Trimester,2025-2026,IT Security
CDA9,Lec/Lab,3,3rd yr,BSDA,1st Trimester,2025-2026,Machine Learning Fundamentals
SOCSCI103N,PureLec,3,3rd yr,BSDA,1st Trimester,2025-2026,The Contemporary World
CC6,PureLec,3,3rd yr,BSDA,2nd Trimester,2025-2026,Emerging Technologies in IT
CC10,Lec/Lab,3,3rd yr,BSDA,2nd Trimester,2025-2026,Introduction to Networks
CDA11,PureLec,3,3rd yr,BSDA,2nd Trimester,2025-2026,Data Analytics Capstone Project 2
CDA12,PureLec,9,3rd yr,BSDA,3rd Trimester,2025-2026,Data Analytics Internship
MMC7,Lec/Lab,3,3rd yr,BMMA,1st Trimester,2025-2026,Digital Sound Production
MMC8,Lec/Lab,3,3rd yr,BMMA,1st Trimester,2025-2026,Interactive Media Design
MMC9,Lec/Lab,3,3rd yr,BMMA,1st Trimester,2025-2026,Multimedia Publishing
MMC10,PureLec,3,3rd yr,BMMA,1st Trimester,2025-2026,Business Ventures in Multimedia
MMC11,PureLec,3,3rd yr,BMMA,1st Trimester,2025-2026,Multimedia Capstone Project 1
MMC12,Lec/Lab,3,3rd yr,BMMA,2nd Trimester,2025-2026,Prost-Production Techniques
MMC13,Lec/Lab,3,3rd yr,BMMA,2nd Trimester,2025-2026,Multimedia Seminars
MMC14,PureLec,3,3rd yr,BMMA,2nd Trimester,2025-2026,Multimedia Capstone Project 2
MMC15,Lec/Lab,3,3rd yr,BMMA,3rd Trimester,2025-2026,Portfolio Preparation and Exhibit Design
MMC16,PureLec,3,3rd yr,BMMA,3rd Trimester,2025-2026,Multimedia Internship
