subject,unit_category,units,year_level,degree,trimester,curriculum,description
MMC4,Lec/Lab,3,2nd yr,BMMA,2nd Trimester,2024-2025,Typography and Layout
MMC5,Lec/Lab,3,2nd yr,BMMA,2nd Trimester,2024-2025,3D Animation Techniques
MCC8,PureLec,3,2nd yr,BMMA,2nd Trimester,2024-2025,Research Methods
HIST101,PureLec,3,2nd yr,BMMA,2nd Trimester,2024-2025,The Life and Works of Rizal
CORDI101,PureLec,3,2nd yr,BMMA,2nd Trimester,2024-2025,Cordilleras: History and Socio-Cultural Heritage
CC15,PureLec,3,2nd yr,BSIT(Webtech),3rd Trimester,2024-2025,Systems Integration and Architecture
CC16,PureLec,3,2nd yr,BSIT(Webtech),3rd Trimester,2024-2025,IT Security
CIT4,Lec/Lab,3,2nd yr,BSIT(Webtech),3rd Trimester,2024-2025,Introduction to Integrative Programming and Technologies
CIT16,Lec/Lab,3,2nd yr,BSIT(Webtech),3rd Trimester,2024-2025,IT Technopreneurship
FL100,PureLec,3,2nd yr,BSIT(Webtech),3rd Trimester,2024-2025,Foreign Culture and Language
SOCSCI100,PureLec,3,2nd yr,BSIT(Webtech),3rd Trimester,2024-2025,Art Appreciation
CC15,PureLec,3,2nd yr,BSIT(NetSec),3rd Trimester,2024-2025,System Integration and Architecture
CC16,PureLec,3,2nd yr,BSIT(NetSec),3rd Trimester,2024-2025,IT Security
CIT4,Lec/Lab,3,2nd yr,BSIT(NetSec),3rd Trimester,2024-2025,Introduction to Integrative Programming and Technologies
CIT26,Lec/Lab,3,2nd yr,BSIT(NetSec),3rd Trimester,2024-2025,Essentials of Network management
FL100,PureLec,3,2nd yr,BSIT(NetSec),3rd Trimester,2024-2025,Foreign Culture and Language
SOCSCI100,PureLec,3,2nd yr,BSIT(NetSec),3rd Trimester,2024-2025,Art Appreciation
CC15,PureLec,3,2nd yr,BSIT(ERP),3rd Trimester,2024-2025,Systems Integration and Architecture
CC16,PureLec,3,2nd yr,BSIT(ERP),3rd Trimester,2024-2025,IT Security
CIT4,Lec/Lab,3,2nd yr,BSIT(ERP),3rd Trimester,2024-2025,Introduction to Integrative Programming and Technologies
CIT11,Lec/Lab,3,2nd yr,BSIT(ERP),3rd Trimester,2024-2025,ABAP Programming 1
FL100,PureLec,3,2nd yr,BSIT(ERP),3rd Trimester,2024-2025,Foreign Culture and Language
SOCSCI100,PureLec,3,2nd yr,BSIT(ERP),3rd Trimester,2024-2025,Art Appreciation
CC15,PureLec,3,2nd yr,BSCS,3rd Trimester,2024-2025,Systems Integration and Architecture
CCS4,PureLec,3,2nd yr,BSCS,3rd Trimester,2024-2025,Programming Languages
CCS7,Lec/Lab,3,2nd yr,BSCS,3rd Trimester,2024-2025,Intelligent Systems
CCS14,Lec/Lab,3,2nd yr,BSCS,3rd Trimester,2024-2025,Digital Animation
FL100,PureLec,3,2nd yr,BSCS,3rd Trimester,2024-2025,Foreign Culture and Language
SCIENCE100,PureLec,3,2nd yr,BSCS,3rd Trimester,2024-2025,Science; Technology and Society
CC15,PureLec,3,2nd yr,BSDA,3rd Trimester,2024-2025,Systems Integration and Architecture
CDA7,PureLec,3,2nd yr,BSDA,3rd Trimester,2024-2025,Data Visualization Fundamentals
CDA6,Lec/Lab,3,2nd yr,BSDA,3rd Trimester,2024-2025,Data Preparation Technologies
CDA8,Lec/Lab,3,2nd yr,BSDA,3rd Trimester,2024-2025,Data Modeling Technologies
CIT16,PureLec,3,2nd yr,BSDA,3rd Trimester,2024-2025,IT Technopreneurship
SCIENCE100,PureLec,3,2nd yr,BSDA,3rd Trimester,2024-2025,Science; Technology and Society
MMC19,Lec/Lab,3,2nd yr,BMMA,3rd Trimester,2024-2025,Advanced 3D Modeling and Scene Design
CC14,Lec/Lab,3,2nd yr,BMMA,3rd Trimester,2024-2025,Web Application Development
MMC6,Lec/Lab,3,2nd yr,BMMA,3rd Trimester,2024-2025,Fundamentals in Film and Video Production
FL100,PureLec,3,2nd yr,BMMA,3rd Trimester,2024-2025,Foreign Culture and Language
SOCSCI103N,PureLec,3,2nd yr,BMMA,3rd Trimester,2024-2025,The Contemporary World
CC6,PureLec,3,3rd yr,BSIT(Webtech),1st Trimester,2024-2025,Emerging Technologies in IT
CC17,Lec/Lab,3,3rd yr,BSIT(Webtech),1st Trimester,2024-2025,Mobile Application Design and Development
CIT6,PureLec,3,3rd yr,BSIT(Webtech),1st Trimester,2024-2025,Capstone Project 1
CIT7,PureLec,3,3rd yr,BSIT(Webtech),2nd Trimester,2024-2025,Capstone Project 2
CIT18,Lec/Lab,3,3rd yr,BSIT(Webtech),2nd Trimester,2024-2025,Mastery in Web Technology
SOCSCI103N,PureLec,3,3rd yr,BSIT(Webtech),1st Trimester,2024-2025,The Contemporary World
CIT8,PureLec,9,3rd yr,BSIT(Webtech),3rd Trimester,2024-2025,IT Internship
CC6,PureLec,3,3rd yr,BSIT(NetSec),1st Trimester,2024-2025,Emerging Technologies in IT
CC17,Lec/Lab,3,3rd yr,BSIT(NetSec),1st Trimester,2024-2025,Mobile Application Design and Development
CIT6,PureLec,3,3rd yr,BSIT(NetSec),1st Trimester,2024-2025,Capstone Project 1
CIT22,Lec/Lab,3,3rd yr,BSIT(NetSec),1st Trimester,2024-2025,Mastery in Networking Administration
SOCSCI103N,PureLec,3,3rd yr,BSIT(NetSec),1st Trimester,2024-2025,The Contemporary World
CIT7,PureLec,3,3rd yr,BSIT(NetSec),2nd Trimester,2024-2025,Capstone Project 2
CIT23,Lec/Lab,3,3rd yr,BSIT(NetSec),2nd Trimester,2024-2025,Firewalls and Security
HIST101,PureLec,3,3rd yr,BSIT(NetSec),2nd Trimester,2024-2025,The Life and Works of Rizal
HIST101,PureLec,3,3rd yr,BSIT(Webtech),2nd Trimester,2024-2025,The Life and Works of Rizal
CIT8,PureLec,9,3rd yr,BSIT(NetSec),3rd Trimester,2024-2025,IT Internship
CC17,Lec/Lab,3,3rd yr,BSIT(ERP),1st Trimester,2024-2025,Mobile Application Design and Development
CC6,PureLec,3,3rd yr,BSIT(ERP),1st Trimester,2024-2025,Emerging Technologies in IT
CIT6,PureLec,3,3rd yr,BSIT(ERP),1st Trimester,2024-2025,Capstone Project 1
CIT12,Lec/Lab,3,3rd yr,BSIT(ERP),1st Trimester,2024-2025,ABAP Programing 2
SOCSCI103N,PureLec,3,3rd yr,BSIT(ERP),1st Trimester,2024-2025,The Contemporary World
CIT7,PureLec,3,3rd yr,BSIT(ERP),2nd Trimester,2024-2025,Capstone Project 2
CIT13,Lec/Lab,3,3rd yr,BSIT(ERP),2nd Trimester,2024-2025,Mastery in ERP
CIT8,PureLec,3,3rd yr,BSIT(ERP),3rd Trimester,2024-2025,IT Internship
CC17,Lec/Lab,3,3rd yr,BSCS,1st Trimester,2024-2025,Mobile Application Design and Development
CC18,PureLec,3,3rd yr,BSCS,1st Trimester,2024-2025,Social and Professional Issues
CCS6,PureLec,3,3rd yr,BSCS,1st Trimester,2024-2025,Operating System
CCS9,PureLec,3,3rd yr,BSCS,1st Trimester,2024-2025,Thesis Writing 1
CC16,PureLec,3,3rd yr,BSCS,1st Trimester,2024-2025,IT Security
CCS15,Lec/Lab,3,3rd yr,BSCS,1st Trimester,2024-2025,Game Theory
CC6,PureLec,3,3rd yr,BSCS,2nd Trimester,2024-2025,Emerging Technologies in IT
CCS19,Lec/Lab,3,3rd yr,BSCS,2nd Trimester,2024-2025,Thesis Writing 2
CCS16,Lec/Lab,3,3rd yr,BSCS,2nd Trimester,2024-2025,Game Console Integration
CCS11,PureLec,3,3rd yr,BSCS,3rd Trimester,2024-2025,CS Internship
HIST101,PureLec,3,3rd yr,BSCS,3rd Trimester,2024-2025,The Life and Works of Rizal
HIST101,PureLec,3,3rd yr,BSIT(ERP),2nd Trimester,2024-2025,Life and Works of Rizal
CC17,Lec/Lab,3,3rd yr,BSDA,1st Trimester,2024-2025,Mobile Application Design and Development
CDA10,PureLec,3,1st yr,BSDA,1st Trimester,2024-2025,Data Analytics Capstone Project 1
CC16,PureLec,3,3rd yr,BSDA,1st Trimester,2024-2025,IT Security
CDA9,Lec/Lab,3,3rd yr,BSDA,1st Trimester,2024-2025,Machine Learning Fundamentals
SOCSCI103N,PureLec,3,3rd yr,BSDA,1st Trimester,2024-2025,The Contemporary World
CC6,PureLec,3,3rd yr,BSDA,2nd Trimester,2024-2025,Emerging Technologies in IT
CC10,Lec/Lab,3,3rd yr,BSDA,2nd Trimester,2024-2025,Introduction to Networks
CDA11,PureLec,3,3rd yr,BSDA,2nd Trimester,2024-2025,Data Analytics Capstone Project 2
CDA12,PureLec,9,3rd yr,BSDA,3rd Trimester,2024-2025,Data Analytics Internship
MMC7,Lec/Lab,3,3rd yr,BMMA,1st Trimester,2024-2025,Digital Sound Production
MMC8,Lec/Lab,3,3rd yr,BMMA,1st Trimester,2024-2025,Interactive Media Design
MMC9,Lec/Lab,3,3rd yr,BMMA,1st Trimester,2024-2025,Multimedia Publishing
MMC10,PureLec,3,3rd yr,BMMA,1st Trimester,2024-2025,Business Ventures in Multimedia
MMC11,PureLec,3,3rd yr,BMMA,1st Trimester,2024-2025,Multimedia Capstone Project 1
MMC12,Lec/Lab,3,3rd yr,BMMA,2nd Trimester,2024-2025,Prost-Production Techniques
MMC13,Lec/Lab,3,3rd yr,BMMA,2nd Trimester,2024-2025,Multimedia Seminars
MMC14,PureLec,3,3rd yr,BMMA,2nd Trimester,2024-2025,Multimedia Capstone Project 2
MMC15,Lec/Lab,3,3rd yr,BMMA,3rd Trimester,2024-2025,Portfolio Preparation and Exhibit Design
MMC16,PureLec,3,3rd yr,BMMA,3rd Trimester,2024-2025,Multimedia Internship
